machine,batch,jobs,starting time,processing time,completion time
1,1,"10,3,7",26,6,32
2,1,"2,5,1,4",26,14,40
3,1,"9,8",24,14,38
4,1,6,8,9,17
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,2",25,13,38
2,1,"10,7,4,8",25,11,36
3,1,"1,9,3",24,14,38
4,1,6,8,4,12
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,1,10",16,8,24
2,1,"9,6,5,3",11,9,20
3,1,"7,2",16,7,23
4,1,8,8,1,9
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,10",7,6,13
2,1,"6,7,4",16,9,25
3,1,"8,1,2",15,7,22
4,1,"9,3",19,8,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,3,6,9",13,13,26
2,1,"8,5,2,10",17,11,28
3,1,"1,7",9,12,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,5",11,12,23
2,1,"8,10,7",12,6,18
3,1,"1,3,4",18,9,27
4,1,"6,9",14,9,23
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,2,5,4",26,9,35
2,1,"7,3,8,9",26,9,35
3,1,"1,10",23,4,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,2,9",26,5,31
2,1,"8,3,1",22,5,27
3,1,"7,10,5",29,9,38
4,1,6,8,2,10
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,2,5",29,10,39
2,1,"9,8,6,4",29,14,43
3,1,"7,1",21,9,30
4,1,3,8,7,15
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,6",6,7,13
2,1,"8,9,3,2",19,12,31
3,1,"7,1,4",23,14,37
4,1,10,8,14,22
machine,batch,jobs,starting time,processing time,completion time
1,1,"16,1,8,9",17,9,26
2,1,"3,2,11,19,4",18,9,27
3,1,"21,24,25,13,14,23,7",19,6,25
4,1,"6,18,15,10,20",19,7,26
3,2,"12,5,22",25,5,30
4,2,17,26,3,29
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,4,9",10,8,18
2,1,"17,7,5,23",10,9,19
3,1,"8,11,21,10,15",19,9,28
4,1,"24,16,12,1,13,22",19,9,28
1,2,"20,18",18,8,26
2,2,"25,3",19,9,28
1,3,6,26,9,35
2,3,"14,19",28,7,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,15,25",14,11,25
2,1,"13,24,20,7,18",16,13,29
3,1,"16,1,8,21,10,14,3",13,14,27
4,1,"6,4,5,22,9,23",19,10,29
1,2,"12,19",25,14,39
3,2,"17,11",27,14,41
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,4,15,25",18,14,32
2,1,"1,11,7,5,18",16,10,26
3,1,"16,23,8,6,17,13",15,11,26
4,1,"10,24,14,2,20,22",15,14,29
3,2,"19,12,21",26,12,38
2,2,3,26,3,29
machine,batch,jobs,starting time,processing time,completion time
1,1,"14,2,19,10",26,7,33
2,1,"24,4,13,18,1,8",27,8,35
3,1,"16,12,7,21,6,11,23",26,8,34
4,1,"20,25,22,3,17",29,9,38
1,2,"15,9",33,8,41
3,2,5,34,7,41
machine,batch,jobs,starting time,processing time,completion time
1,1,"18,12,15",28,8,36
2,1,"9,13,24,5,14",24,9,33
3,1,"19,23,25,11,3,7",26,9,35
4,1,"6,1,17,20,4,22",26,9,35
2,2,"16,10",33,9,42
4,2,"21,2",35,9,44
3,2,8,35,6,41
machine,batch,jobs,starting time,processing time,completion time
1,1,"23,1,15,25",18,11,29
2,1,"5,13,8,9,17",23,13,36
3,1,"19,24,16,21,6,11,22",29,14,43
4,1,"10,3,2,7,12",28,11,39
1,2,"20,18",29,6,35
1,3,"14,4",35,4,39
machine,batch,jobs,starting time,processing time,completion time
1,1,"19,14",29,13,42
2,1,"18,16,20,25,13",28,14,42
3,1,"8,9,5,3,10",22,13,35
4,1,"24,12,4,2,22,11",23,14,37
3,2,"17,23,6,1",35,11,46
4,2,"7,21",37,14,51
2,2,15,42,3,45
machine,batch,jobs,starting time,processing time,completion time
1,1,"20,3,21",13,9,22
2,1,"11,6,16,1,9",19,8,27
3,1,"2,14,7,13,22,8,19",16,8,24
4,1,"4,24,18,10,5,17",18,7,25
1,2,"12,23",22,9,31
3,2,"15,25",24,4,28
machine,batch,jobs,starting time,processing time,completion time
1,1,"22,13,19",15,7,22
2,1,"1,18,11,16,21",18,9,27
3,1,"4,7,3,8,15,12",17,9,26
4,1,"23,14,20,17,9,24",17,9,26
1,2,"6,5",22,3,25
1,3,25,25,7,32
4,2,"10,2",26,8,34
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,5,10,9",15,6,21
2,1,"1,6,16,25,13",14,13,27
3,1,"15,24,3,7,18,8,11",17,13,30
4,1,"20,23,14,22,17",19,11,30
1,2,"19,2",21,9,30
2,2,"12,21",27,13,40
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,1,22",10,12,22
2,1,"21,8,17,7",19,13,32
3,1,"4,23,11,16,12,24",18,11,29
4,1,"15,19,6,25,13,20,3",15,14,29
1,2,"10,14",22,14,36
4,2,"18,5",29,3,32
3,2,2,29,11,40
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,8,11,16",19,8,27
2,1,"7,10,1,4,13",15,9,24
3,1,"3,12,20,22,9,6,17",24,9,33
4,1,"21,23,25,18,15",25,6,31
2,2,"24,14,19",28,7,35
1,2,5,27,6,33
machine,batch,jobs,starting time,processing time,completion time
1,1,"20,4,15",12,9,21
2,1,"6,8,19,21,25",19,9,28
3,1,"7,18,24,3,13,17",23,8,31
4,1,"9,14,10,23,1,5",27,9,36
1,2,"2,11",21,6,27
1,3,12,27,8,35
2,2,"22,16",29,9,38
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,5,2",26,3,29
2,1,"7,22,8,16,21",27,14,41
3,1,"25,3,17,13,20,9,15",24,12,36
4,1,"4,11,19,14,10,18",29,11,40
1,2,"6,24",29,12,41
3,2,"12,23",36,10,46
machine,batch,jobs,starting time,processing time,completion time
1,1,"22,17,6,18",14,8,22
2,1,"5,24,1,20",22,14,36
3,1,"2,7,12,3,8",28,8,36
4,1,"13,11,15,19,25,10",29,13,42
1,2,21,22,12,34
1,3,"4,16",34,14,48
3,2,"14,9",36,13,49
2,2,23,36,5,41
machine,batch,jobs,starting time,processing time,completion time
1,1,"20,6,17",14,8,22
2,1,"22,13,24,3,11",14,8,22
3,1,"4,5,8,12,25,9,15",19,9,28
4,1,"23,2,21,14,18,10",17,8,25
2,2,"1,7,19",22,8,30
1,2,16,22,4,26
machine,batch,jobs,starting time,processing time,completion time
1,1,"1,10,19",11,8,19
2,1,"13,14,24,8",17,7,24
3,1,"16,22,23,2,15,18",17,9,26
4,1,"11,4,5,17,7,6,12",18,8,26
1,2,"21,25",19,9,28
2,2,"3,20",24,7,31
4,2,9,26,3,29
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,7,20,4",14,11,25
2,1,"15,12,10,17,21",16,14,30
3,1,"2,1,19,25,23,5,14",18,12,30
4,1,"22,11,13,8,18",19,11,30
1,2,"16,24",25,14,39
4,2,"6,3",30,12,42
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,1,17",10,8,18
2,1,"10,24,20,3",19,14,33
3,1,"11,19,9,7,5",19,7,26
4,1,"13,2,12,15,23,16",19,14,33
1,2,8,18,13,31
3,2,"18,21,14,22",26,9,35
1,3,6,31,10,41
4,2,25,33,8,41
machine,batch,jobs,starting time,processing time,completion time
1,1,"7,1,6",22,7,29
2,1,"5,3,14,2,25",28,7,35
3,1,"11,13,23,9,21,19,4",26,9,35
4,1,"17,16,18,22,12,24",28,8,36
1,2,"10,8",29,7,36
3,2,"15,20",35,8,43
machine,batch,jobs,starting time,processing time,completion time
1,1,"12,2,18,5",17,9,26
2,1,"19,3,7,24",24,9,33
3,1,"10,25,6,16,1",27,7,34
4,1,"14,17,20,23,11,8",28,9,37
1,2,21,26,5,31
1,3,"9,15",31,9,40
2,2,"22,4",33,9,42
3,2,13,34,1,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,3,14,25",23,14,37
2,1,"23,13,5,18,12",28,13,41
3,1,"4,22,20,2,16,7,21",29,13,42
4,1,"11,6,8,1,17",26,13,39
1,2,"10,15",37,13,50
4,2,"19,24",39,7,46
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,22,5",23,14,37
2,1,"17,25,11,19,12",22,12,34
3,1,"3,8,24,13,6,2",29,12,41
4,1,"9,15,21,4,14,1",26,12,38
2,2,"20,23,16",34,5,39
1,2,7,37,13,50
4,2,18,38,5,43
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,6,10,15",15,9,24
2,1,"19,9,17,23,7,12",18,9,27
3,1,"25,11,3,24,14,2,22",19,8,27
4,1,"1,21,5,16,18",16,7,23
4,2,"20,8",23,4,27
1,2,13,24,6,30
machine,batch,jobs,starting time,processing time,completion time
1,1,"9,3,24",19,6,25
2,1,"10,18,8,11",9,5,14
3,1,"13,7,14,23,2",19,9,28
4,1,"16,6,25,15,4,1,21",14,9,23
2,2,"19,20,17",14,9,23
2,3,"22,12",23,2,25
4,2,5,23,1,24
