3,1,"9,10,8,3,6",29,9,38
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,6",8,3,11
2,1,"5,10,7,8",20,8,28
3,1,"1,9,3,2",29,8,37
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,2,7",2,10,12
2,1,"1,4,9,8",24,14,38
3,1,"3,5,6",28,14,42
machine,batch,jobs,starting time,processing time,completion time
1,1,5,7,2,9
2,1,"10,7,1",12,11,23
3,1,"3,8,6,9,2,4",25,14,39
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,10,9",8,9,17
2,1,"5,6,3,7",12,8,20
3,1,"1,2,8",19,8,27
machine,batch,jobs,starting time,processing time,completion time
1,1,5,2,5,7
2,1,"6,8",4,5,9
1,2,"2,10",7,6,13
3,1,"4,9,1,7",16,9,25
4,1,3,19,8,27
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,8,1",5,13,18
2,1,"6,7,3,9,10,2",16,10,26
3,1,5,17,10,27
machine,batch,jobs,starting time,processing time,completion time
1,1,2,2,12,14
2,1,"8,1",9,8,17
3,1,"4,10,5,7,6",13,9,22
4,1,"9,3",18,3,21
machine,batch,jobs,starting time,processing time,completion time
1,1,"6,5,2",3,9,12
2,1,"7,9,1",15,6,21
3,1,"8,10,3,4",26,9,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"4,8,2",8,4,12
2,1,"1,7,3",22,9,31
3,1,"5,9,6,10",29,6,35
machine,batch,jobs,starting time,processing time,completion time
1,1,"10,9,7",8,14,22
2,1,"4,8,1,2",26,9,35
3,1,"3,5,6",29,10,39
machine,batch,jobs,starting time,processing time,completion time
1,1,"5,8",1,7,8
2,1,"9,2,6,7",8,14,22
3,1,"3,4,1,10",28,14,42
machine,batch,jobs,starting time,processing time,completion time
1,1,"16,3,4",3,9,12
2,1,"21,25,6,14,2",5,7,12
3,1,"12,10,22,1,11,17",10,9,19
4,1,"5,20,8,18,23,9,24,7,19,13",19,8,27
2,2,15,19,4,23
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,17",2,5,7
2,1,"8,24,5",6,8,14
1,2,"20,11,7",8,8,16
3,1,"4,25,9,12,15,23",10,9,19
4,1,"6,14,1,10,22,13",16,9,25
2,2,"18,3",17,8,25
1,3,"19,16",19,7,26
3,2,21,19,9,28
machine,batch,jobs,starting time,processing time,completion time
1,1,"2,13",2,11,13
2,1,"16,6,10,25",5,14,19
3,1,"5,12,20,23,14,9,21",9,10,19
